wage,Educ,Urban,Exp,Exp^2,NE,NC,W,S,Ability,Father_E,Mother_E,Married,I(E>=12),I(E>=16),E(E>=12),E(E>=16),E*A,A(E>=12),A(E>=16),E*F_E,E*M_E,E*NC,E*N,E*S,E*Urban,E*Unemp,Unemploy
2.78130066,12.0,1.0,15.0,225.0,1.0,0.0,0.0,0.0,1.83694978,6.0,7.0,1.0,1.0,0.0,12.0,0.0,22.04339737,1.83694978,0.0,72.0,84.0,0.0,12.0,0.0,12.0,62.4,5.2
2.73306796,16.0,1.0,6.0,36.0,1.0,0.0,0.0,0.0,5.31635704,16.0,12.0,0.0,1.0,1.0,16.0,16.0,85.06171264,5.31635704,5.31635704,256.0,192.0,0.0,16.0,0.0,16.0,83.2,5.2
2.33698652,12.0,1.0,11.0,121.0,1.0,0.0,0.0,0.0,2.39324979,11.0,10.0,1.0,1.0,0.0,12.0,0.0,28.71899743,2.39324979,0.0,132.0,120.0,0.0,12.0,0.0,12.0,62.4,5.2
2.01490302,13.0,0.0,14.0,196.0,1.0,0.0,0.0,0.0,-1.18139271,12.0,14.0,0.0,1.0,0.0,13.0,0.0,-15.35810519,-1.18139271,0.0,156.0,182.0,0.0,13.0,0.0,0.0,114.4,8.8
3.06944731,14.0,1.0,12.0,144.0,1.0,0.0,0.0,0.0,2.63304049,14.0,15.0,1.0,1.0,0.0,14.0,0.0,36.86256691,2.63304049,0.0,196.0,210.0,0.0,14.0,0.0,14.0,72.8,5.2
2.93119375,12.0,1.0,11.0,121.0,1.0,0.0,0.0,0.0,2.57083042,9.0,12.0,1.0,1.0,0.0,12.0,0.0,30.84996505,2.57083042,0.0,108.0,144.0,0.0,12.0,0.0,12.0,62.4,5.2
2.39789527,13.0,1.0,7.0,49.0,1.0,0.0,0.0,0.0,1.11223518,9.0,12.0,1.0,1.0,0.0,13.0,0.0,14.45905732,1.11223518,0.0,117.0,156.0,0.0,13.0,0.0,13.0,67.6,5.2
2.56186769,15.0,1.0,6.0,36.0,1.0,0.0,0.0,0.0,3.43885849,16.0,16.0,0.0,1.0,0.0,15.0,0.0,51.58287731,3.43885849,0.0,240.0,240.0,0.0,15.0,0.0,15.0,78.0,5.2
1.75267208,12.0,1.0,10.0,100.0,1.0,0.0,0.0,0.0,1.08852872,12.0,12.0,0.0,1.0,0.0,12.0,0.0,13.06234463,1.08852872,0.0,144.0,144.0,0.0,12.0,0.0,12.0,62.4,5.2
2.44234704,12.0,1.0,9.0,81.0,1.0,0.0,0.0,0.0,3.54264011,12.0,12.0,0.0,1.0,0.0,12.0,0.0,42.51168129,3.54264011,0.0,144.0,144.0,0.0,12.0,0.0,12.0,62.4,5.2
1.9095425,12.0,1.0,13.0,169.0,1.0,0.0,0.0,0.0,-0.03169672,12.0,14.0,0.0,1.0,0.0,12.0,0.0,-0.38036066,-0.03169672,0.0,144.0,168.0,0.0,12.0,0.0,12.0,62.4,5.2
2.61227325,9.0,1.0,12.0,144.0,1.0,0.0,0.0,0.0,1.89089838,12.0,12.0,0.0,0.0,0.0,0.0,0.0,17.01808542,0.0,0.0,108.0,108.0,0.0,9.0,0.0,9.0,46.8,5.2
2.26280422,11.0,1.0,16.0,256.0,1.0,0.0,0.0,0.0,-2.62285251,12.0,17.0,0.0,0.0,0.0,0.0,0.0,-28.85137761,0.0,0.0,132.0,187.0,0.0,11.0,0.0,11.0,73.7,6.7
2.93598227,16.0,1.0,6.0,36.0,1.0,0.0,0.0,0.0,3.64620483,16.0,18.0,1.0,1.0,1.0,16.0,16.0,58.33927721,3.64620483,3.64620483,256.0,288.0,0.0,16.0,0.0,16.0,99.2,6.2
2.39425228,13.0,0.0,9.0,81.0,1.0,0.0,0.0,0.0,3.60968849,10.0,12.0,1.0,1.0,0.0,13.0,0.0,46.92595038,3.60968849,0.0,130.0,156.0,0.0,13.0,0.0,0.0,67.6,5.2
